Marca;Modelo;Anos_Compatibilidad;Tipo_Vehiculo
Maxus;T60;2017-2024;Pickup 4x4 / 4x2
Maxus;T90;2023-2024;Pickup Bi-Turbo
Maxus;V80;2015-2024;Furgón Cargo / Pasajeros
Maxus;V90;2020-2024;Furgón Maxi Cargo
Maxus;G10;2015-2024;Van Pasajeros / Cargo
Maxus;D60;2021-2024;SUV Familiar
Maxus;D90;2022-2024;SUV 4x4 Offroad
Maxus;eDeliver 3;2022-2024;100% Eléctrico
Toyota;Hilux;2005-2024;Pickup 4x4 / 4x2
Toyota;Hilux Revo;2016-2024;Pickup 4x4 / 4x2
Toyota;Land Cruiser Prado;2010-2024;SUV 4x4
Toyota;Fortuner;2016-2024;SUV 4x4
Nissan;NP300;2008-2024;Pickup 4x4 / 4x2
Nissan;Frontier;2015-2024;Pickup 4x4 / 4x2
Nissan;Navara;2015-2024;Pickup 4x4 / 4x2
Nissan;X-Trail;2014-2024;SUV
Mitsubishi;L200;2006-2024;Pickup 4x4 / 4x2
Mitsubishi;L200 Triton;2015-2024;Pickup 4x4 / 4x2
Mitsubishi;Montero Sport;2016-2024;SUV 4x4
Volkswagen;Amarok;2010-2024;Pickup 4x4 / 4x2
Volkswagen;Amarok V6;2018-2024;Pickup 4x4
Great Wall;Poer;2021-2024;Pickup 4x4 / 4x2
Great Wall;Wingle 6;2015-2022;Pickup 4x4 / 4x2
Great Wall;Wingle 7;2018-2024;Pickup 4x4 / 4x2
JAC;T6;2016-2024;Pickup 4x4 / 4x2
JAC;T8;2019-2024;Pickup 4x4 / 4x2
JAC;T8 Pro;2021-2024;Pickup 4x4 / 4x2
JAC;Sunray;2018-2024;Furgón Cargo / Minibús
JMC;Vigus;2015-2024;Pickup 4x4 / 4x2
JMC;Vigus Pro;2021-2024;Pickup 4x4 / 4x2
JMC;Boarding;2016-2024;Pickup 4x2
JMC;Carrying;2012-2024;Camión Ligero
DFSK;Glory 580;2019-2024;SUV Familiar
DFSK;EC35;2020-2024;Furgón Eléctrico
DFSK;C31;2015-2024;Minitruck Cabina Simple
DFSK;K01;2016-2024;Minitruck
SsangYong;Actyon Sports;2012-2022;Pickup 4x4 / 4x2
SsangYong;Musso;2018-2024;Pickup 4x4 / 4x2
SsangYong;Musso Grand;2020-2024;Pickup 4x4 / 4x2
SsangYong;Rexton;2018-2024;SUV 4x4
Changan;Hunter;2021-2024;Pickup 4x4 / 4x2
Changan;Hunter Plus;2022-2024;Pickup 4x4
