Codigo;Categoria;Nombre_Repuesto;Descripcion;Marcas_Compatibles;Modelos_Compatibles;Destacado;Etiqueta;Estado
kit-distribucion;Motor & Distribución;Kit de Distribución Completo;Kit completo con correa o cadena dentada de alta resistencia, tensores automáticos y poleas de guía. Calidad OEM.;TODAS;TODOS;SI;Top Venta;Activo
bomba-agua;Motor & Distribución;Bomba de Agua Refrigeración;Bomba de agua con rodamiento sellado y sellos cerámicos de alta eficiencia para óptima refrigeración del motor.;TODAS;TODOS;NO;;Activo
empaquetaduras;Motor & Distribución;Empaquetaduras de Motor;Juegos de empaquetaduras de culata multilámina, múltiple de admisión/escape y tapa de válvulas reforzadas para turbo diésel.;TODAS;TODOS;NO;;Activo
correa-accesorios;Motor & Distribución;Correa de Accesorios Poly-V;Correas Poly-V estriadas de alta durabilidad para alternador, bomba de dirección y compresor de aire acondicionado.;TODAS;TODOS;NO;;Activo
tensor-correa;Motor & Distribución;Tensor de Correa Automático;Tensor automático de correa de accesorios con amortiguación interna y polea termoplástica de alta resistencia térmica.;TODAS;TODOS;NO;;Activo
polea-guia;Motor & Distribución;Polea de Guía y Desvío;Poleas locas y de desvío con rodamientos japoneses sellados de doble hilera de bolas para mínima vibración.;TODAS;TODOS;NO;;Activo
filtro-aceite;Filtros & Lubricantes;Filtro de Aceite Blindado;Filtro blindado con válvula antidrenaje y papel filtrante de microfibra sintética para máxima retención de impurezas.;TODAS;TODOS;SI;Esencial;Activo
filtro-aire;Filtros & Lubricantes;Filtro de Aire Motor;Plisado de alta densidad con sello de poliuretano flexible que garantiza sellado hermético en condiciones polvorientas.;TODAS;TODOS;NO;;Activo
filtro-petroleo;Filtros & Lubricantes;Filtro de Petróleo / Diésel;Separador de agua y sedimentos de alta eficiencia (2 a 5 micras) para proteger sistemas de inyección common rail.;TODAS;TODOS;SI;Protección;Activo
filtro-habitaculo;Filtros & Lubricantes;Filtro de Polen / Habitáculo;Filtro con capa de carbón activado que atrapa polen, polvo fino, hollín y neutraliza olores del exterior.;TODAS;TODOS;NO;;Activo
aceite-5w30;Filtros & Lubricantes;Aceites de Motor 5W-30 / 5W-40;Aceite de motor 100% sintético de última generación con especificación ACEA C2/C3 para motores diésel con filtro DPF.;TODAS;TODOS;SI;Recomendado;Activo
refrigerantes;Filtros & Lubricantes;Refrigerantes 50/50 OAT;Líquido refrigerante / anticongelante de larga duración orgánico (OAT) premezclado al 50/50, protección de -37°C a +129°C.;TODAS;TODOS;NO;;Activo
aditivos;Filtros & Lubricantes;Aditivos para Diésel y Motor;Tratamientos avanzados para sistema de inyección diésel common rail, limpiadores de inyectores, regeneradores DPF y mejoradores de cetano.;TODAS;TODOS;NO;;Activo
aceite-transmision;Filtros & Lubricantes;Aceite de Transmisión 75W-90 GL-5;Lubricante sintético de extrema presión para diferenciales, cajas de cambio manuales y cajas de transferencia 4x4.;TODAS;TODOS;NO;;Activo
desengrasante;Filtros & Lubricantes;Desengrasantes Mecánicos;Desengrasante industrial de alta potencia para limpieza profunda de motores, frenos, transmisiones y componentes grasosos.;TODAS;TODOS;NO;;Activo
bandeja-suspension;Suspensión & Dirección;Bandeja de Suspensión Delantera;Bandejas superiores e inferiores de fundición de acero con bujes vulcanizados de alta durabilidad y rótula prensada.;TODAS;TODOS;SI;Reforzada;Activo
rotula;Suspensión & Dirección;Rótulas de Suspensión Reforzadas;Rótulas con perno esférico de acero forjado cromado y guardapolvo de poliuretano resistente a grasas y barro.;TODAS;TODOS;NO;;Activo
terminal-direccion;Suspensión & Dirección;Terminales y Axiales de Dirección;Terminales exteriores e interiores (axiales) con rosca mecanizada de precisión para ajuste exacto de alineación.;TODAS;TODOS;NO;;Activo
cremallera;Suspensión & Dirección;Cremallera de Dirección Hidráulica;Cremalleras completas con sellos de alta presión y barra dentada tratada térmicamente para camionetas de trabajo pesado.;TODAS;TODOS;NO;;Activo
amortiguador;Suspensión & Dirección;Amortiguadores Delanteros y Traseros;Amortiguadores a gas nitrógeno bitubo con valvulado progresivo para óptimo control de carga y confort en faena y carretera.;TODAS;TODOS;SI;Heavy Duty;Activo
kit-embrague;Embrague & Transmisión;Kit de Embrague Reforzado;Kit completo que incluye prensa de diafragma templado, disco orgánico de alta fricción con resortes dobles y rodamiento.;TODAS;TODOS;SI;Top Venta;Activo
disco-embrague;Embrague & Transmisión;Disco de Embrague de Repuesto;Disco de embrague con forro de alta resistencia al calor y mazas con resortes de torsión de doble paso para acople suave.;TODAS;TODOS;NO;;Activo
