Marca,Modelo,Anos_Compatibilidad,Tipo_Vehiculo,Categoria,Repuesto,Codigo_Repuesto,Descripcion_Repuesto,Estado_Disponibilidad
Maxus,T60,2017-2024,Pickup 4x4 / 4x2,Motor & Distribución,Kit de Distribución Completo,kit-distribucion,"Kit completo con correa o cadena dentada de alta resistencia, tensores automáticos y poleas de guía.",Disponible
Maxus,T60,2017-2024,Pickup 4x4 / 4x2,Motor & Distribución,Bomba de Agua Refrigeración,bomba-agua,Bomba de agua con rodamiento sellado y sellos cerámicos de alta eficiencia.,Disponible
Maxus,T60,2017-2024,Pickup 4x4 / 4x2,Motor & Distribución,Empaquetaduras de Motor,empaquetaduras,"Juegos de empaquetaduras de culata multilámina, múltiple de admisión/escape y tapa de válvulas.",Disponible
Maxus,T60,2017-2024,Pickup 4x4 / 4x2,Motor & Distribución,Correa de Accesorios Poly-V,correa-accesorios,"Correas Poly-V estriadas de alta durabilidad para alternador, bomba de dirección y compresor A/C.",Disponible
Maxus,T60,2017-2024,Pickup 4x4 / 4x2,Motor & Distribución,Tensor de Correa Automático,tensor-correa,Tensor automático con amortiguación hidráulica interna y polea termoplástica.,Disponible
Maxus,T60,2017-2024,Pickup 4x4 / 4x2,Motor & Distribución,Polea de Guía y Desvío,polea-guia,Poleas locas y de desvío con rodamientos sellados de doble hilera de bolas.,Disponible
Maxus,T60,2017-2024,Pickup 4x4 / 4x2,Filtros & Lubricantes,Filtro de Aceite Blindado,filtro-aceite,Filtro de aceite con válvula antidrenaje y papel filtrante de microfibra sintética.,Disponible
Maxus,T60,2017-2024,Pickup 4x4 / 4x2,Filtros & Lubricantes,Filtro de Aire Motor,filtro-aire,Filtro de aire con plisado de alta densidad para máxima retención de partículas.,Disponible
Maxus,T60,2017-2024,Pickup 4x4 / 4x2,Filtros & Lubricantes,Filtro de Petróleo / Diésel,filtro-petroleo,Filtro de combustible con separador de agua para sistemas common rail.,Disponible
Maxus,T60,2017-2024,Pickup 4x4 / 4x2,Filtros & Lubricantes,Filtro de Polen / Habitáculo,filtro-habitaculo,Filtro de polen con capa de carbón activado antibacteriano.,Disponible
Maxus,T60,2017-2024,Pickup 4x4 / 4x2,Filtros & Lubricantes,Aceites de Motor 5W-30 / 5W-40,aceite-5w30,Aceite de motor 100% sintético con especificación ACEA C2/C3 para motores con DPF.,Disponible
Maxus,T60,2017-2024,Pickup 4x4 / 4x2,Filtros & Lubricantes,Refrigerantes 50/50 OAT,refrigerantes,Líquido refrigerante / anticongelante de larga duración orgánico premezclado.,Disponible
Maxus,T60,2017-2024,Pickup 4x4 / 4x2,Filtros & Lubricantes,Aditivos para Diésel y Motor,aditivos,"Tratamientos para sistema de inyección diésel, limpiadores y mejoradores de cetano.",Disponible
Maxus,T60,2017-2024,Pickup 4x4 / 4x2,Filtros & Lubricantes,Aceite de Transmisión 75W-90 GL-5,aceite-transmision,"Aceite sintético para transmisiones manuales, diferenciales y cajas de transferencia.",Disponible
Maxus,T60,2017-2024,Pickup 4x4 / 4x2,Filtros & Lubricantes,Desengrasantes Mecánicos,desengrasante,Desengrasante de alta potencia para limpieza de motor y componentes mecánicos.,Disponible
Maxus,T60,2017-2024,Pickup 4x4 / 4x2,Suspensión & Dirección,Bandeja de Suspensión Delantera,bandeja-suspension,Bandejas de suspensión superior e inferior con bujes vulcanizados y rótula prensada.,Disponible
Maxus,T60,2017-2024,Pickup 4x4 / 4x2,Suspensión & Dirección,Rótulas de Suspensión Reforzadas,rotula,Rótulas de acero forjado con guardapolvo de poliuretano.,Disponible
Maxus,T60,2017-2024,Pickup 4x4 / 4x2,Suspensión & Dirección,Terminales y Axiales de Dirección,terminal-direccion,Terminales exteriores e interiores con rosca de precisión milimétrica.,Disponible
Maxus,T60,2017-2024,Pickup 4x4 / 4x2,Suspensión & Dirección,Cremallera de Dirección Hidráulica,cremallera,Cremalleras de dirección hidráulica y electroasistida completas.,Disponible
Maxus,T60,2017-2024,Pickup 4x4 / 4x2,Suspensión & Dirección,Amortiguadores Delanteros y Traseros,amortiguador,Amortiguadores a gas nitrógeno bitubo de respuesta progresiva.,Disponible
Maxus,T60,2017-2024,Pickup 4x4 / 4x2,Embrague & Transmisión,Kit de Embrague Reforzado,kit-embrague,Kit de embrague completo con prensa de diafragma templado y disco orgánico.,Disponible
Maxus,T60,2017-2024,Pickup 4x4 / 4x2,Embrague & Transmisión,Disco de Embrague de Repuesto,disco-embrague,Disco de embrague con forro de alta fricción y resortes amortiguadores dobles.,Disponible
Maxus,T60,2017-2024,Pickup 4x4 / 4x2,Embrague & Transmisión,Rodamiento de Empuje / Collarín Hidráulico,rodamiento-empuje,Rodamiento de empuje mecánico y collarines hidráulicos concéntricos.,Disponible
Maxus,T60,2017-2024,Pickup 4x4 / 4x2,Embrague & Transmisión,Cruceta de Cardán y Transmisión,cruceta-cardan,Crucetas de cardán con grasera de engrase y sellos laberinto de triple labio.,Disponible
