Categoria;Repuesto;Codigo_Repuesto;Descripcion_Repuesto
Motor & Distribución;Kit de Distribución Completo;kit-distribucion;Kit completo con correa o cadena dentada de alta resistencia, tensores automáticos y poleas de guía.
Motor & Distribución;Bomba de Agua Refrigeración;bomba-agua;Bomba de agua con rodamiento sellado y sellos cerámicos de alta eficiencia.
Motor & Distribución;Empaquetaduras de Motor;empaquetaduras;Juegos de empaquetaduras de culata multilámina, múltiple de admisión/escape y tapa de válvulas.
Motor & Distribución;Correa de Accesorios Poly-V;correa-accesorios;Correas Poly-V estriadas de alta durabilidad para alternador, bomba de dirección y compresor A/C.
Motor & Distribución;Tensor de Correa Automático;tensor-correa;Tensor automático con amortiguación hidráulica interna y polea termoplástica.
Motor & Distribución;Polea de Guía y Desvío;polea-guia;Poleas locas y de desvío con rodamientos sellados de doble hilera de bolas.
Filtros & Lubricantes;Filtro de Aceite Blindado;filtro-aceite;Filtro de aceite con válvula antidrenaje y papel filtrante de microfibra sintética.
Filtros & Lubricantes;Filtro de Aire Motor;filtro-aire;Filtro de aire con plisado de alta densidad para máxima retención de partículas.
Filtros & Lubricantes;Filtro de Petróleo / Diésel;filtro-petroleo;Filtro de combustible con separador de agua para sistemas common rail.
Filtros & Lubricantes;Filtro de Polen / Habitáculo;filtro-habitaculo;Filtro de polen con capa de carbón activado antibacteriano.
Filtros & Lubricantes;Aceites de Motor 5W-30 / 5W-40;aceite-5w30;Aceite de motor 100% sintético con especificación ACEA C2/C3 para motores con DPF.
Filtros & Lubricantes;Refrigerantes 50/50 OAT;refrigerantes;Líquido refrigerante / anticongelante de larga duración orgánico premezclado.
Filtros & Lubricantes;Aditivos para Diésel y Motor;aditivos;Tratamientos para sistema de inyección diésel, limpiadores y mejoradores de cetano.
Filtros & Lubricantes;Aceite de Transmisión 75W-90 GL-5;aceite-transmision;Aceite sintético para transmisiones manuales, diferenciales y cajas de transferencia.
Filtros & Lubricantes;Desengrasantes Mecánicos;desengrasante;Desengrasante de alta potencia para limpieza de motor y componentes mecánicos.
Suspensión & Dirección;Bandeja de Suspensión Delantera;bandeja-suspension;Bandejas de suspensión superior e inferior con bujes vulcanizados y rótula prensada.
Suspensión & Dirección;Rótulas de Suspensión Reforzadas;rotula;Rótulas de acero forjado con guardapolvo de poliuretano.
Suspensión & Dirección;Terminales y Axiales de Dirección;terminal-direccion;Terminales exteriores e interiores con rosca de precisión milimétrica.
Suspensión & Dirección;Cremallera de Dirección Hidráulica;cremallera;Cremalleras de dirección hidráulica y electroasistida completas.
Suspensión & Dirección;Amortiguadores Delanteros y Traseros;amortiguador;Amortiguadores a gas nitrógeno bitubo de respuesta progresiva.
Embrague & Transmisión;Kit de Embrague Reforzado;kit-embrague;Kit de embrague completo con prensa de diafragma templado y disco orgánico.
Embrague & Transmisión;Disco de Embrague de Repuesto;disco-embrague;Disco de embrague con forro de alta fricción y resortes amortiguadores dobles.
Embrague & Transmisión;Rodamiento de Empuje / Collarín Hidráulico;rodamiento-empuje;Rodamiento de empuje mecánico y collarines hidráulicos concéntricos.
Embrague & Transmisión;Cruceta de Cardán y Transmisión;cruceta-cardan;Crucetas de cardán con grasera de engrase y sellos laberinto de triple labio.
Frenos;Pastillas de Freno Cerámicas Delanteras;pastillas-freno;Pastillas de formulación cerámica de bajo polvo y alto coeficiente de fricción.
Frenos;Discos de Freno Ventilados;discos-freno;Discos de freno ventilados con aleación de alto contenido de carbono.
Frenos;Bombas de Freno;bomba-freno;Cilindro maestro de freno de doble circuito con depósito de líquido.
Frenos;Balatas de Freno;balatas-freno;Juegos de zapatas de freno traseras con forro de alta resistencia al calor.
Frenos;Tambores de Freno;tambor-freno;Tambores traseros de fundición gris equilibrados dinámicamente.
Frenos;Cilindro de Rueda / Freno Trasero;cilindro-freno;Cilindros receptores traseros con pistones de aluminio anodizado.
Carrocería & Eléctrico;Ópticos y Focos;opticos-focos;Faros delanteros ópticos principales y focos traseros de alta durabilidad.
Carrocería & Eléctrico;Kit de Ampolletas Halógenas / LED;ampolletas;Ampolletas H4, H7, H11 en tecnología halógena de alto rendimiento y LED Canbus.
Carrocería & Eléctrico;Alternador de Alto Amperaje;alternador;Alternadores de 110A a 150A con regulador electrónico incorporado.
Carrocería & Eléctrico;Motor de Partida / Arranque Reforzado;motor-partida;Motores de arranque con sistema de reducción planetaria de alto torque.
Carrocería & Eléctrico;Sensor de Velocidad ABS;sensor-abs;Sensores de velocidad de rueda ABS de alta precisión magnética.
